mpg	displacement	horsepower	weight	acceleration	origin
27	97	88	2130	15	japanese
30	98	68	2135	17	japanese
42	98	76	2144	15	european
34	97	67	2145	18	japanese
35	105	70	2150	15	american
30	111	80	2155	15	american
30	98	68	2155	17	american
28	97	75	2155	16	japanese
24	116	75	2158	16	european
36	120	88	2160	15	japanese
28	98	80	2164	15	american
25	98	60	2164	22	american
29	97	75	2171	16	japanese
34	97	78	2188	16	european
26	96	69	2189	18	european
31	97	78	2190	14	european
33	105	74	2190	14	european
34	105	70	2200	13	american
27	101	83	2202	15	european
36	107	75	2205	15	japanese
34	107	75	2210	14	japanese
35	105	63	2215	15	american
29	98	83	2219	17	european
23	122	86	2220	14	american
25	116	81	2220	17	european
25	90	71	2223	17	european
21	122	86	2226	17	american
25	113	95	2228	14	japanese
31	105	75	2230	15	american
26	121	113	2234	13	european
34	108	70	2245	17	japanese
26	116	75	2246	14	european
23	97	54	2254	24	european
26	98	79	2255	18	american
28	140	90	2264	16	american
26	98	90	2265	16	european
26	97	75	2265	18	japanese
32	108	75	2265	15	japanese
24	113	95	2278	16	japanese
20	97	88	2279	19	japanese
28	97	92	2288	17	japanese
32	107	72	2290	17	japanese
32	135	84	2295	12	american
26	122	96	2300	16	american
26	97	78	2300	15	european
27	119	97	2300	15	japanese
19	122	85	2310	19	american
19	70	97	2330	14	japanese
43	90	48	2335	24	european
32	108	75	2350	17	japanese
36	135	84	2370	13	american
24	113	95	2372	15	japanese
25	104	95	2375	18	european
22	108	94	2379	17	japanese
30	98	65	2380	21	american
30	135	84	2385	13	american
26	108	93	2391	16	japanese
22	122	86	2395	16	american
34	112	88	2395	18	american
21	140	72	2401	20	american
24	119	97	2405	15	japanese
22	140	72	2408	19	american
20	140	90	2408	20	american
24	70	100	2420	13	japanese
24	107	90	2430	15	european
37	119	92	2434	15	japanese
26	122	80	2451	17	american
28	107	86	2464	16	european
21	155	107	2472	14	american
24	120	97	2489	15	japanese
27	135	84	2490	16	american
35	122	88	2500	15	european
23	120	97	2506	15	japanese
22	121	76	2511	18	european
21	134	95	2515	15	japanese
29	135	84	2525	16	american
25	140	75	2542	17	american
31	120	75	2542	18	japanese
24	119	97	2545	17	japanese
34	151	90	2556	13	american
28	134	95	2560	14	japanese
27	140	72	2565	14	american
25	140	92	2572	15	american
31	112	85	2575	16	american
20	114	91	2582	14	european
26	156	92	2585	15	american
21	200	85	2587	16	american
23	140	78	2592	19	american
29	173	115	2595	11	american
22	121	110	2600	13	european
28	112	88	2605	20	american
33	119	100	2615	15	japanese
26	156	92	2620	14	american
28	120	79	2625	19	american
19	232	100	2634	13	american
27	151	84	2635	16	american
32	120	74	2635	18	japanese
23	140	83	2639	17	american
27	112	88	2640	19	american
21	199	90	2648	15	american
24	121	110	2660	14	european
32	144	96	2665	14	japanese
27	121	80	2670	15	american
28	151	90	2670	16	american
25	121	115	2671	14	european
25	110	87	2672	18	european
28	151	90	2678	17	american
23	115	95	2694	15	european
27	173	115	2700	13	american
24	134	96	2702	14	japanese
30	134	90	2711	16	japanese
25	140	88	2720	15	american
31	119	82	2720	19	american
22	80	110	2720	14	japanese
24	173	110	2725	13	american
27	151	90	2735	18	american
25	151	88	2740	16	american
23	156	105	2745	17	american
26	140	89	2755	16	american
18	199	97	2774	16	american
18	232	100	2789	15	american
27	140	86	2790	16	american
22	121	115	2795	16	european
28	156	105	2800	14	american
20	156	122	2807	14	japanese
22	146	97	2815	15	japanese
20	131	103	2830	16	european
22	198	95	2833	16	american
22	232	112	2835	15	american
24	151	85	2855	18	american
24	140	92	2865	16	american
19	121	112	2868	16	european
26	140	88	2870	18	american
22	140	88	2890	17	american
25	168	116	2900	13	japanese
19	232	100	2901	16	american
23	198	95	2904	16	american
33	168	132	2910	11	japanese
20	232	100	2914	16	american
19	156	108	2930	16	japanese
24	146	120	2930	14	japanese
18	121	112	2933	15	european
18	232	100	2945	16	american
25	181	110	2945	16	american
22	121	98	2945	15	european
27	151	90	2950	17	american
36	121	67	2950	20	european
23	120	88	2957	17	european
18	258	110	2962	14	american
20	200	85	2965	16	american
21	120	87	2979	20	european
18	171	97	2984	15	american
20	200	85	2990	18	american
24	151	90	3003	20	american
24	200	81	3012	18	american
38	262	85	3015	17	american
18	250	88	3021	17	american
21	231	110	3039	15	american
20	200	88	3060	17	american
21	200	85	3070	17	american
23	232	90	3085	18	american
14	455	225	3086	10	american
20	198	95	3102	17	american
18	225	105	3121	17	american
18	250	88	3139	15	american
17	163	125	3140	14	european
20	130	102	3150	16	european
21	200	95	3155	18	american
15	250	72	3158	20	american
31	145	76	3160	20	european
13	302	129	3169	12	american
27	141	71	3190	25	european
18	258	95	3193	18	american
18	302	139	3205	11	american
19	232	90	3210	17	american
19	232	90	3211	17	american
20	262	110	3221	14	american
28	141	80	3230	20	european
22	225	100	3233	15	american
22	231	115	3245	15	american
30	146	67	3250	22	european
19	225	95	3264	16	american
20	232	90	3265	18	american
19	120	88	3270	22	european
16	250	100	3278	18	american
19	250	100	3282	15	american
18	232	100	3288	16	american
19	250	88	3302	16	american
17	250	100	3329	16	american
15	250	100	3336	17	american
22	250	105	3353	15	american
21	225	110	3360	17	american
20	260	110	3365	16	american
21	231	105	3380	16	american
19	225	90	3381	19	american
15	318	150	3399	11	american
18	258	120	3410	15	american
16	163	133	3410	16	european
22	231	110	3415	16	american
24	260	90	3420	22	american
21	231	105	3425	17	american
19	305	145	3425	13	american
21	225	100	3430	17	american
15	250	72	3432	21	american
16	304	150	3433	12	american
18	318	150	3436	11	american
16	225	105	3439	16	american
18	231	165	3445	13	american
17	302	140	3449	11	american
18	250	105	3459	16	american
18	225	85	3465	17	american
18	307	130	3504	12	american
18	250	110	3520	16	american
19	250	98	3525	19	american
25	183	77	3530	20	european
19	231	105	3535	19	american
15	383	170	3563	10	american
20	302	139	3570	13	american
18	250	78	3574	21	american
19	267	125	3605	15	american
14	340	160	3609	8	american
18	225	105	3613	17	american
19	225	110	3620	19	american
19	225	100	3630	18	american
16	258	110	3632	18	american
19	250	110	3645	16	american
20	225	100	3651	18	american
11	350	180	3664	11	american
17	304	150	3672	12	american
14	304	150	3672	12	american
15	350	165	3693	12	american
18	302	129	3725	13	american
27	350	105	3725	19	american
15	258	110	3730	19	american
19	318	140	3735	13	american
13	318	150	3755	14	american
15	400	150	3761	10	american
15	318	150	3777	13	american
16	250	100	3781	17	american
18	225	95	3785	19	american
17	168	120	3820	17	european
13	360	175	3821	11	american
18	318	135	3830	15	american
17	305	130	3840	15	american
15	390	190	3850	9	american
13	302	130	3870	15	american
18	305	145	3880	13	american
15	304	150	3892	13	american
16	250	105	3897	19	american
23	350	125	3900	17	american
17	231	110	3907	21	american
13	318	150	3940	13	american
19	360	150	3940	13	american
17	351	138	3955	13	american
16	304	120	3962	14	american
13	350	145	3988	13	american
14	302	137	4042	15	american
16	351	142	4054	14	american
13	350	145	4055	12	american
17	260	110	4060	19	american
14	318	150	4077	14	american
18	318	140	4080	14	american
15	350	145	4082	13	american
14	318	150	4096	13	american
13	307	130	4098	14	american
13	350	175	4100	13	american
14	351	153	4129	13	american
15	318	150	4135	14	american
16	318	145	4140	14	american
16	302	140	4141	14	american
14	351	153	4154	14	american
16	350	170	4165	11	american
16	318	150	4190	13	american
14	350	165	4209	12	american
18	305	140	4215	13	american
15	351	152	4215	13	american
16	400	180	4220	11	american
14	318	150	4237	15	american
14	304	150	4257	16	american
13	350	165	4274	12	american
16	400	230	4278	10	american
13	302	140	4294	16	american
15	302	130	4295	15	american
14	440	215	4312	9	american
16	400	190	4325	12	american
16	351	149	4335	15	american
15	429	198	4341	10	american
14	454	220	4354	9	american
17	350	155	4360	15	american
13	351	158	4363	13	american
10	307	200	4376	15	american
17	350	180	4380	12	american
11	318	210	4382	14	american
14	400	175	4385	12	american
13	400	190	4422	13	american
14	455	225	4425	10	american
15	350	145	4440	14	american
12	350	160	4456	14	american
14	318	150	4457	14	american
14	400	175	4464	12	american
13	400	150	4464	12	american
16	318	150	4498	15	american
12	350	180	4499	13	american
13	350	155	4502	14	american
10	360	215	4615	14	american
11	429	208	4633	11	american
14	302	140	4638	16	american
13	360	170	4654	13	american
14	351	148	4657	14	american
16	400	170	4668	12	american
13	350	150	4699	15	american
9	304	193	4732	19	american
13	440	215	4735	11	american
13	400	170	4746	12	american
12	400	167	4906	13	american
12	455	225	4951	11	american
12	429	198	4952	12	american
12	383	180	4955	12	american
11	400	150	4997	14	american
13	400	175	5140	12	american
