"mpg"	"displacement"	"horsepower"	"weight"	"acceleration"	"origin"	"groupe"
17	260	110	4060	19	"american"	4
14	318	150	4077	14	"american"	1
18	318	140	4080	14	"american"	1
15	350	145	4082	13	"american"	1
14	318	150	4096	13	"american"	1
13	307	130	4098	14	"american"	1
13	350	175	4100	13	"american"	1
14	351	153	4129	13	"american"	1
15	318	150	4135	14	"american"	1
16	318	145	4140	14	"american"	1
16	302	140	4141	14	"american"	1
14	351	153	4154	14	"american"	1
16	350	170	4165	11	"american"	1
16	318	150	4190	13	"american"	1
14	350	165	4209	12	"american"	1
18	305	140	4215	13	"american"	1
15	351	152	4215	13	"american"	1
16	400	180	4220	11	"american"	1
14	318	150	4237	15	"american"	1
14	304	150	4257	16	"american"	1
13	350	165	4274	12	"american"	1
16	400	230	4278	10	"american"	1
13	302	140	4294	16	"american"	1
15	302	130	4295	15	"american"	1
14	440	215	4312	9	"american"	1
16	400	190	4325	12	"american"	1
16	351	149	4335	15	"american"	1
15	429	198	4341	10	"american"	1
14	454	220	4354	9	"american"	1
17	350	155	4360	15	"american"	1
13	351	158	4363	13	"american"	1
10	307	200	4376	15	"american"	1
17	350	180	4380	12	"american"	1
11	318	210	4382	14	"american"	1
14	400	175	4385	12	"american"	1
13	400	190	4422	13	"american"	1
14	455	225	4425	10	"american"	1
15	350	145	4440	14	"american"	1
12	350	160	4456	14	"american"	1
14	318	150	4457	14	"american"	1
14	400	175	4464	12	"american"	1
13	400	150	4464	12	"american"	1
16	318	150	4498	15	"american"	1
12	350	180	4499	13	"american"	1
13	350	155	4502	14	"american"	1
10	360	215	4615	14	"american"	1
11	429	208	4633	11	"american"	1
14	302	140	4638	16	"american"	1
13	360	170	4654	13	"american"	1
14	351	148	4657	14	"american"	1
16	400	170	4668	12	"american"	1
13	350	150	4699	15	"american"	1
9	304	193	4732	19	"american"	1
13	440	215	4735	11	"american"	1
13	400	170	4746	12	"american"	1
12	400	167	4906	13	"american"	1
12	455	225	4951	11	"american"	1
12	429	198	4952	12	"american"	1
12	383	180	4955	12	"american"	1
11	400	150	4997	14	"american"	1
13	400	175	5140	12	"american"	1
